#  
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2013-02-12T14:12:06 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to: question@simbad.u-strasbg.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.97 (28-Nov-2012) 
#INFO -ref=VIZ511a4d7c223f 
#INFO -out.max=unlimited 
#INFO queryParameters=21 
#-oc.form=sexa
#-out.max=unlimited
#-out.src=J/A+AS/108/485/table1
#-nav=cat:J/A+AS/108/485&tab:{J/A+AS/108/485/table1}&key:source=J/A+AS/108/485&HTTPPRM:&-ref=VIZ511a4d7c223f&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-order=I&-out=recno&-out=Name&-out=PK&-out=F5GHz&-out=D&-out=Ref&-out=Tb&-out=R&-out=l_Dist&-out=Dist&-out=tau(CKS)&-out=log(mu)&-out=Rad(CKS)&-out=Dist(CKS)&-out=Diff&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-out.src=J/A+AS/108/485/table1
#-source=J/A+AS/108/485/table1
#-order=I
#-out=recno
#-out=Name
#-out=PK
#-out=F5GHz
#-out=D
#-out=Ref
#-out=Tb
#-out=R
#-out=l_Dist
#-out=Dist
#-out=tau(CKS)
#-out=log(mu)
#-out=Rad(CKS)
#-out=Dist(CKS)
#-out=Diff
#

#RESOURCE=yCat_41080485
#Name: J/A+AS/108/485
#Title: PN distance scale (Van de Steene+, 1994)
#Table J_A_AS_108_485_table1:
#Name: J/A+AS/108/485/table1
#Title: Catalog of distances to planetary nebulae
#---Details of Columns:
    recno           (I8)    Record number within the original table (starting from 1) [ucd=meta.record]
    Name            (a10)   Nebula name [ucd=meta.id;meta.main]
    PK              (a9)    PK number [ucd=meta.id]
    F5GHz (mJy)     (F7.1)  Radio flux at 5 GHz [ucd=phot.flux.density;em.radio.3-6GHz]
    D (arcsec)      (F5.1)  Angular diameter [ucd=phys.angSize;src]
    Ref             (I1)    References (1) [ucd=meta.ref]
    Tb (K)          (F7.2)  Brightness temperature [ucd=phys.temperature]
    R (pc)          (F5.2)  Radius calculated using the proposed method [ucd=phys.size.radius]
    l_Dist          (A1)    Limit flag on distance [ucd=meta.code.error]
    Dist (kpc)      (F5.2)  Distance calculated using the proposed method [ucd=pos.distance]
    tau(CKS)        (F5.2)  Optical thickness parameter [ucd=phys.absorption.opticalDepth]
    log(mu)         (F5.2)  Ionised mass [ucd=phys.mass]
    Rad(CKS) (pc)   (F6.3)  Radius as obtained with the Cahn et al. (CKS) calibration (2) [ucd=phys.size.radius]
    Dist(CKS) (kpc) (F5.2)  Distance as obtained with the Cahn et al. (CKS) calibration (2) [ucd=pos.distance]
    Diff (kpc)      (F6.2)  Difference between the distance determinations [ucd=pos.distance;arith.diff]
-------- ---------- --------- ------- ----- - ------- ----- - ----- ----- ----- ------ ----- ------
                                                            l                                      
                                                            _                                      
                                                            D                                      
                                            R               i                   R      Dist(       
                              F5GH    D (ar e         R     s Dist  tau   lo    ad(CKS CKS)  Diff  
recno    Name       PK        z (mJy) csec) f Tb (K)  (pc)  t (kpc) (CKS) g(mu) ) (pc) (kpc) (kpc) 
-------- ---------- --------- ------- ----- - ------- ----- - ----- ----- ----- ------ ----- ------
     399 H1-39       356-3.3     13.0   1.7 3  318.00  0.04    9.75  2.35 -1.65  0.030  7.71   2.04
     400 M1-27       356-2.2     63.0   8.0 3   69.60  0.07    3.53  3.01 -0.99  0.080  4.08  -0.55
     401 M2-11       356+4.1     22.0   2.7 3  213.00  0.05    7.07  2.52 -1.48  0.040  6.17   0.90
     402 M3-38       356+4.2     21.0   1.8 3  458.00  0.04    8.11  2.19 -1.81  0.030  5.85   2.26
     403 H1-43       357-4.3      6.0   3.0 3   47.10  0.08   10.78  3.18 -0.82  0.100 13.74  -2.96
     404 M2-22       357-4.2      6.5   5.0 3   18.40  0.11    8.99  3.59 -0.87  0.120  9.54  -0.55
     405 M2-18       357-3.4     17.0   1.5 3  534.00  0.03    9.22  2.12 -1.88  0.020  6.40   2.82
     406 H1-18       357+2.4     33.0   1.5 6 1040.00  0.03    7.30  1.83 -2.17  0.020  4.30   3.00
     407 H2-7        357+4.1      9.0   4.1 3   37.80  0.08    8.52  3.27 -0.87  0.100 10.07  -1.55
     408 M3-42       357+3.4      6.0   6.0 3   11.80  0.13    8.75  3.78 -0.87  0.130  8.69   0.06
     409 M4-3        357+7.1     28.0   1.3 6 1170.00  0.03    8.08  1.78 -2.22  0.010  4.61   3.47
     410 NGC6563     358-7.1     69.0  45.2 1    2.40  0.22    2.03  4.47 -0.87  0.170  1.59   0.44
     411 HE2-334     358-5.3     31.0   1.4 3 1120.00  0.03    7.62  1.80 -2.20  0.010  4.40   3.22
     412 PE1-11      358-5.1      8.0   9.0 3    7.00  0.15    7.01  4.01  0.01  0.310 14.40  -7.39
     413 H1-46       358-4.1     43.0   1.2 3 2110.00  0.02    7.12  1.52 -2.48  0.010  3.51   3.62
     414 M4-7        358-2.1     33.0   5.7 3   71.80  0.07    4.90  2.99 -1.01  0.080  5.62  -0.72
     415 M1-26       358-0.2    400.0   3.2 2 2760.00  0.02    2.43  1.41 -2.59  0.010  1.12   1.31
     416 H1-17       358+3.7     35.0   0.9 3 3050.00  0.02    8.35  1.36 -2.64  0.010  3.75   4.60
     417 H1-19       358+3.4     26.0   1.4 3  938.00  0.03    8.11  1.88 -2.12  0.020  4.89   3.22
     418 M3-36       358+7.1      3.5   3.2 3   24.20  0.10   12.76  3.47 -0.87  0.110 14.11  -1.35
     419 M3-39       358+5.1    280.0  20.0 3   49.50  0.08    1.59  3.15 -0.87  0.090  1.96  -0.37
     420 M3-40       358+5.2     17.0   2.5 3  192.00  0.05    7.91  2.57 -1.43  0.040  7.09   0.82
     421 M3-8        358+4.1     20.0   2.9 3  168.00  0.05    7.15  2.62 -1.38  0.050  6.63   0.52
     422 M4-6        358+1.1     42.0   2.0 6  742.00  0.03    6.16  1.98 -2.02  0.020  3.94   2.22
     423 TH3-26      358+3.8     10.0   6.5 3   16.70  0.11    7.15  3.63 -0.87  0.120  7.48  -0.32
     424 M2-27       359-4.2     50.0   2.3 6  668.00  0.03    5.56  2.02 -1.98  0.020  3.65   1.91
     425 M3-17       359-3.1     12.0   2.9 3  101.00  0.06    8.54  2.85 -1.15  0.060  9.00  -0.46
     426 H1-40       359-2.3     31.0   1.3 6 1300.00  0.02    7.79  1.74 -2.26  0.010  4.34   3.45
     427 M3-16       359-2.2     17.0   6.5 3   28.40  0.09    5.94  3.40 -0.87  0.110  6.72  -0.78
     428 M3-44       359-1.2     35.0   3.8 6  171.00  0.05    5.42  2.62 -1.38  0.050  5.00   0.42
     429 M1-29       359-1.1     97.0   7.0 3  140.00  0.05    3.16  2.70 -1.30  0.050  3.06   0.09
     430 HB5         359-0.1    548.0  20.0 4   96.80  0.06    1.26  2.86 -1.14  0.060  1.34  -0.08
     431 A40        359+15.1      2.0  29.0 3    0.20  0.56    8.02  5.62 -0.87  0.300  4.21   3.82
     432 M3-9        359+5.2     35.0  17.0 3    8.60  0.14    3.46  3.92 -0.87  0.130  3.27   0.19
     433 TH3-14      359+4.1      4.0   1.4 3  144.00  0.05   15.63  2.69 -1.31  0.050 15.05   0.58

#END#  -ref=VIZ511a4d7c223f =========================================================================================================================================================================================================================================================================================================================================================================================
